Category,Variable,Measure,Value,Group
case of NMSC in 2009,0,65-69,80.0203512,Female
pop,486435,65-69,2141523,Female
case of NMSC in 2010,0,65-69,97.0109919,Female
pop,612356,65-69,2579211,Female
case of NMSC in 2011,0,65-69,152.9472123,Female
pop,882447,65-69,3543202,Female
case of NMSC in 2012,2.0296281,65-69,229.9538098,Female
pop,991430,65-69,4237380,Female
case of NMSC in 2013,0,65-69,227.123568,Female
pop,1321862,65-69,5626648,Female
case of NMSC in 2014,0,65-69,330.8469024,Female
pop,1416150,65-69,6588261,Female
case of NMSC in 2015,0,65-69,384.0956163,Female
pop,1788641,65-69,8235724,Female
case of NMSC in 2016,3.9350102,65-69,510.614888,Female
pop,2188292,65-69,9780861,Female
case of NMSC in 2017,3.0636088,65-69,625.975104,Female
pop,2519946,65-69,12319000,Female
case of NMSC in 2018,3.0239352,65-69,863.5619,Female
Incident of NMSC in 2005,0,70-74,7.65,Female
Incident of NMSC in 2006,0,70-74,8.52,Female
Incident of NMSC in 2007,0,70-74,9.24,Female
Incident of NMSC in 2008,0.49,70-74,11.11,Female
Incident of NMSC in 2009,0,70-74,8.12,Female
Incident of NMSC in 2010,0,70-74,6.39,Female
Incident of NMSC in 2011,0,70-74,9.26,Female
Incident of NMSC in 2012,0.23,70-74,8.22,Female
Incident of NMSC in 2013,0,70-74,8.63,Female
Incident of NMSC in 2014,0,70-74,8.91,Female
Incident of NMSC in 2015,0,70-74,8.63,Female
Incident of NMSC in 2016,0.22,70-74,9.47,Female
Incident of NMSC in 2017,0.14,70-74,9.24,Female
Incident of NMSC in 2018,0.12,70-74,11.09,Female
Incident of NMSC in 2018,0-,70-74,70-74,Female
pop,155305,70-74,927751,Female
case of NMSC in 2005,0,70-74,70.9729515,Female
pop,174563,70-74,1021043,Female
case of NMSC in 2006,0,70-74,86.9928636,Female
pop,191701,70-74,1028102,Female
case of NMSC in 2007,0,70-74,94.9966248,Female
pop,204918,70-74,1160933,Female
case of NMSC in 2008,1.0040982,70-74,128.9796563,Female
pop,292891,70-74,1367135,Female
case of NMSC in 2009,0,70-74,111.011362,Female
pop,486435,70-74,1908171,Female
case of NMSC in 2010,0,70-74,121.9321269,Female
pop,612356,70-74,2169921,Female
case of NMSC in 2011,0,70-74,200.9346846,Female
pop,882447,70-74,2870922,Female
case of NMSC in 2012,2.0296281,70-74,235.9897884,Female
pop,991430,70-74,3291473,Female
case of NMSC in 2013,0,70-74,284.0541199,Female
pop,1321862,70-74,4198659,Female
case of NMSC in 2014,0,70-74,374.1005169,Female
pop,1416150,70-74,4866170,Female
case of NMSC in 2015,0,70-74,419.950471,Female
pop,1788641,70-74,5882212,Female
case of NMSC in 2016,3.9350102,70-74,557.0454764,Female
pop,2188292,70-74,6881776,Female
case of NMSC in 2017,3.0636088,70-74,635.8761024,Female
pop,2519946,70-74,8547333,Female
case of NMSC in 2018,3.0239352,70-74,947.8992297,Female
Incident of NMSC in 2005,0,75-79,13.36,Female
Incident of NMSC in 2006,0,75-79,10.76,Female
Incident of NMSC in 2007,0,75-79,13.06,Female
Incident of NMSC in 2008,0.49,75-79,14.58,Female
Incident of NMSC in 2009,0,75-79,12.94,Female
Incident of NMSC in 2010,0,75-79,12.16,Female
Incident of NMSC in 2011,0,75-79,12.64,Female
Incident of NMSC in 2012,0.23,75-79,13.01,Female
Incident of NMSC in 2013,0,75-79,12.49,Female
Incident of NMSC in 2014,0,75-79,12.93,Female
Incident of NMSC in 2015,0,75-79,13.16,Female
Incident of NMSC in 2016,0.22,75-79,13.69,Female
Incident of NMSC in 2017,0.14,75-79,14.32,Female
Incident of NMSC in 2018,0.12,75-79,15.01,Female
Incident of NMSC in 2018,0-,75-79,75-79,Female
pop,155305,75-79,628733,Female
case of NMSC in 2005,0,75-79,83.9987288,Female
pop,174563,75-79,696740,Female
case of NMSC in 2006,0,75-79,74.969224,Female
pop,191701,75-79,704616,Female
case of NMSC in 2007,0,75-79,92.0228496,Female
pop,204918,75-79,864151,Female
case of NMSC in 2008,1.0040982,75-79,125.9932158,Female
pop,292891,75-79,1051034,Female
case of NMSC in 2009,0,75-79,136.0037996,Female
pop,486435,75-79,1529005,Female
case of NMSC in 2010,0,75-79,185.927008,Female
pop,612356,75-79,1803533,Female
case of NMSC in 2011,0,75-79,227.9665712,Female
pop,882447,75-79,2428431,Female
case of NMSC in 2012,2.0296281,75-79,315.9388731,Female
pop,991430,75-79,2785738,Female
case of NMSC in 2013,0,75-79,347.9386762,Female
pop,1321862,75-79,3502144,Female
case of NMSC in 2014,0,75-79,452.8272192,Female
pop,1416150,75-79,3875659,Female
case of NMSC in 2015,0,75-79,510.0367244,Female
pop,1788641,75-79,4579432,Female
case of NMSC in 2016,3.9350102,75-79,626.9242408,Female
pop,2188292,75-79,5238141,Female
case of NMSC in 2017,3.0636088,75-79,750.1017912,Female
pop,2519946,75-79,6302079,Female
case of NMSC in 2018,3.0239352,75-79,945.9420579,Female
Incident of NMSC in 2005,0,80-84,12.09,Female
Incident of NMSC in 2006,0,80-84,18.85,Female
Incident of NMSC in 2007,0,80-84,18.7,Female
Incident of NMSC in 2008,0.49,80-84,19.56,Female
Incident of NMSC in 2009,0,80-84,19.03,Female
Incident of NMSC in 2010,0,80-84,15.8,Female
Incident of NMSC in 2011,0,80-84,18.88,Female
Incident of NMSC in 2012,0.23,80-84,20.02,Female
Incident of NMSC in 2013,0,80-84,17.42,Female
Incident of NMSC in 2014,0,80-84,19.49,Female
Incident of NMSC in 2015,0,80-84,19.7,Female
Incident of NMSC in 2016,0.22,80-84,20.5,Female
Incident of NMSC in 2017,0.14,80-84,21.09,Female
Incident of NMSC in 2018,0.12,80-84,22.44,Female
Incident of NMSC in 2018,0-,80-84,80-84,Female
pop,155305,80-84,363891,Female
case of NMSC in 2005,0,80-84,43.9944219,Female
pop,174563,80-84,403278,Female
case of NMSC in 2006,0,80-84,76.017903,Female
pop,191701,80-84,417135,Female
case of NMSC in 2007,0,80-84,78.004245,Female
pop,204918,80-84,516355,Female
case of NMSC in 2008,1.0040982,80-84,100.999038,Female
pop,292891,80-84,625393,Female
case of NMSC in 2009,0,80-84,119.0122879,Female
pop,486435,80-84,917595,Female
case of NMSC in 2010,0,80-84,144.98001,Female
pop,612356,80-84,1086017,Female
case of NMSC in 2011,0,80-84,205.0400096,Female
pop,882447,80-84,1507561,Female
case of NMSC in 2012,2.0296281,80-84,301.8137122,Female
pop,991430,80-84,1762244,Female
case of NMSC in 2013,0,80-84,306.9829048,Female
pop,1321862,80-84,2318947,Female
case of NMSC in 2014,0,80-84,451.9627703,Female
pop,1416150,80-84,2670297,Female
case of NMSC in 2015,0,80-84,526.048509,Female
pop,1788641,80-84,3214901,Female
case of NMSC in 2016,3.9350102,80-84,659.054705,Female
pop,2188292,80-84,3699088,Female
case of NMSC in 2017,3.0636088,80-84,780.1376592,Female
pop,2519946,80-84,4456919,Female
case of NMSC in 2018,3.0239352,80-84,1000.1326236,Female
Incident of NMSC in 2005,0,85+,19.94,Female
Incident of NMSC in 2006,0,85+,31.5,Female
Incident of NMSC in 2007,0,85+,31.19,Female
Incident of NMSC in 2008,0.49,85+,27.52,Female
Incident of NMSC in 2009,0,85+,26.17,Female
Incident of NMSC in 2010,0,85+,20.51,Female
Incident of NMSC in 2011,0,85+,27.29,Female
Incident of NMSC in 2012,0.23,85+,29.68,Female
Incident of NMSC in 2013,0,85+,24.75,Female
Incident of NMSC in 2014,0,85+,27.73,Female
Incident of NMSC in 2015,0,85+,28.01,Female
Incident of NMSC in 2016,0.22,85+,29.28,Female
Incident of NMSC in 2017,0.14,85+,30.34,Female
Incident of NMSC in 2018,0.12,85+,35.68,Female
Incident of NMSC in 2018,0-,85+,85+,Female
pop,155305,85+,230721,Female
case of NMSC in 2005,0,85+,46.0057674,Female
pop,174563,85+,253930,Female
case of NMSC in 2006,0,85+,79.98795,Female
pop,191701,85+,266072,Female
case of NMSC in 2007,0,85+,82.9878568,Female
pop,204918,85+,341586,Female
case of NMSC in 2008,1.0040982,85+,94.0044672,Female
pop,292891,85+,412763,Female
case of NMSC in 2009,0,85+,108.0200771,Female
pop,486435,85+,589813,Female
case of NMSC in 2010,0,85+,120.9706463,Female
pop,612356,85+,703547,Female
case of NMSC in 2011,0,85+,191.9979763,Female
pop,882447,85+,983724,Female
case of NMSC in 2012,2.0296281,85+,291.9692832,Female
pop,991430,85+,1187642,Female
case of NMSC in 2013,0,85+,293.941395,Female
pop,1321862,85+,1615316,Female
case of NMSC in 2014,0,85+,447.9271268,Female
pop,1416150,85+,1970903,Female
case of NMSC in 2015,0,85+,552.0499303,Female
pop,1788641,85+,2363767,Female
case of NMSC in 2016,3.9350102,85+,692.1109776,Female
pop,2188292,85+,2745617,Female
case of NMSC in 2017,3.0636088,85+,833.0201978,Female
pop,2519946,85+,3377404,Female
case of NMSC in 2018,3.0239352,85+,1205.0577472,Female
