Category,Variable,Measure,Value,Group
pop,230304,65-69,1133807,Male
case of NMSC in 2008,0,65-69,85.035525,Male
pop,327151,65-69,1458084,Male
case of NMSC in 2009,1.0141681,65-69,95.0670768,Male
pop,553502,65-69,2084787,Male
case of NMSC in 2010,0,65-69,146.9774835,Male
pop,684618,65-69,2534278,Male
case of NMSC in 2011,0,65-69,188.0434276,Male
pop,994252,65-69,3497777,Male
case of NMSC in 2012,1.988504,65-69,281.9208262,Male
pop,1120183,65-69,4176473,Male
case of NMSC in 2013,1.0081647,65-69,301.1237033,Male
pop,1492182,65-69,5558957,Male
case of NMSC in 2014,0,65-69,424.1484191,Male
pop,1603833,65-69,6514220,Male
case of NMSC in 2015,0.9622998,65-69,502.246362,Male
pop,2027078,65-69,8173167,Male
case of NMSC in 2016,4.054156,65-69,635.0550759,Male
pop,2465356,65-69,9698625,Male
case of NMSC in 2017,0,65-69,762.311925,Male
pop,2831943,65-69,12153174,Male
case of NMSC in 2018,1.9823601,65-69,1006.2828072,Male
Incident of NMSC in 2005,0,70-74,11.36,Male
Incident of NMSC in 2006,0.52,70-74,13.11,Male
Incident of NMSC in 2007,0,70-74,10.43,Male
Incident of NMSC in 2008,0,70-74,14.54,Male
Incident of NMSC in 2009,0.31,70-74,11.14,Male
Incident of NMSC in 2010,0,70-74,10.96,Male
Incident of NMSC in 2011,0,70-74,11.58,Male
Incident of NMSC in 2012,0.2,70-74,9.81,Male
Incident of NMSC in 2013,0.09,70-74,9.24,Male
Incident of NMSC in 2014,0,70-74,10.6,Male
Incident of NMSC in 2015,0.06,70-74,11.14,Male
Incident of NMSC in 2016,0.2,70-74,10.45,Male
Incident of NMSC in 2017,0,70-74,11.59,Male
Incident of NMSC in 2018,0.07,70-74,12.14,Male
Incident of NMSC in 2018,0-,70-74,70-74,Male
pop,173406,70-74,853829,Male
case of NMSC in 2005,0,70-74,96.9949744,Male
pop,192243,70-74,930407,Male
case of NMSC in 2006,0.9996636,70-74,121.9763577,Male
pop,214585,70-74,939824,Male
case of NMSC in 2007,0,70-74,98.0236432,Male
pop,230304,70-74,1052543,Male
case of NMSC in 2008,0,70-74,153.0397522,Male
pop,327151,70-74,1256564,Male
case of NMSC in 2009,1.0141681,70-74,139.9812296,Male
pop,553502,70-74,1752290,Male
case of NMSC in 2010,0,70-74,192.050984,Male
pop,684618,70-74,2021534,Male
case of NMSC in 2011,0,70-74,234.0936372,Male
pop,994252,70-74,2692482,Male
case of NMSC in 2012,1.988504,70-74,264.1324842,Male
pop,1120183,70-74,3104989,Male
case of NMSC in 2013,1.0081647,70-74,286.9009836,Male
pop,1492182,70-74,3999592,Male
case of NMSC in 2014,0,70-74,423.956752,Male
pop,1603833,70-74,4665784,Male
case of NMSC in 2015,0.9622998,70-74,519.7683376,Male
pop,2027078,70-74,5655313,Male
case of NMSC in 2016,4.054156,70-74,590.9802085,Male
pop,2465356,70-74,6654237,Male
case of NMSC in 2017,0,70-74,771.2260683,Male
pop,2831943,70-74,8276466,Male
case of NMSC in 2018,1.9823601,70-74,1004.7629724,Male
Incident of NMSC in 2005,0,75-79,17.16,Male
Incident of NMSC in 2006,0.52,75-79,18.14,Male
Incident of NMSC in 2007,0,75-79,16.01,Male
Incident of NMSC in 2008,0,75-79,17.67,Male
Incident of NMSC in 2009,0.31,75-79,15.95,Male
Incident of NMSC in 2010,0,75-79,13.93,Male
Incident of NMSC in 2011,0,75-79,16.54,Male
Incident of NMSC in 2012,0.2,75-79,15.71,Male
Incident of NMSC in 2013,0.09,75-79,16.55,Male
Incident of NMSC in 2014,0,75-79,14.96,Male
Incident of NMSC in 2015,0.06,75-79,15.5,Male
Incident of NMSC in 2016,0.2,75-79,15.94,Male
Incident of NMSC in 2017,0,75-79,14.09,Male
Incident of NMSC in 2018,0.07,75-79,16.24,Male
Incident of NMSC in 2018,0-,75-79,75-79,Male
pop,173406,75-79,536139,Male
case of NMSC in 2005,0,75-79,92.0014524,Male
pop,192243,75-79,589749,Male
case of NMSC in 2006,0.9996636,75-79,106.9804686,Male
pop,214585,75-79,612209,Male
case of NMSC in 2007,0,75-79,98.0146609,Male
pop,230304,75-79,752806,Male
case of NMSC in 2008,0,75-79,133.0208202,Male
pop,327151,75-79,933904,Male
case of NMSC in 2009,1.0141681,75-79,148.957688,Male
pop,553502,75-79,1327608,Male
case of NMSC in 2010,0,75-79,184.9357944,Male
pop,684618,75-79,1565530,Male
case of NMSC in 2011,0,75-79,258.938662,Male
pop,994252,75-79,2112988,Male
case of NMSC in 2012,1.988504,75-79,331.9504148,Male
pop,1120183,75-79,2441299,Male
case of NMSC in 2013,1.0081647,75-79,404.0349845,Male
pop,1492182,75-79,3121472,Male
case of NMSC in 2014,0,75-79,466.9722112,Male
pop,1603833,75-79,3483593,Male
case of NMSC in 2015,0.9622998,75-79,539.956915,Male
pop,2027078,75-79,4133505,Male
case of NMSC in 2016,4.054156,75-79,658.880697,Male
pop,2465356,75-79,4725730,Male
case of NMSC in 2017,0,75-79,665.855357,Male
pop,2831943,75-79,5682100,Male
case of NMSC in 2018,1.9823601,75-79,922.77304,Male
Incident of NMSC in 2005,0,80-84,20.03,Male
Incident of NMSC in 2006,0.52,80-84,28.66,Male
Incident of NMSC in 2007,0,80-84,23.84,Male
Incident of NMSC in 2008,0,80-84,19.97,Male
Incident of NMSC in 2009,0.31,80-84,22.57,Male
Incident of NMSC in 2010,0,80-84,25.66,Male
Incident of NMSC in 2011,0,80-84,24.48,Male
Incident of NMSC in 2012,0.2,80-84,21.02,Male
Incident of NMSC in 2013,0.09,80-84,21.56,Male
Incident of NMSC in 2014,0,80-84,21.77,Male
Incident of NMSC in 2015,0.06,80-84,19.71,Male
Incident of NMSC in 2016,0.2,80-84,21.26,Male
Incident of NMSC in 2017,0,80-84,23.58,Male
Incident of NMSC in 2018,0.07,80-84,24.42,Male
Incident of NMSC in 2018,0-,80-84,80-84,Male
pop,173406,80-84,264557,Male
case of NMSC in 2005,0,80-84,52.9907671,Male
pop,192243,80-84,289644,Male
case of NMSC in 2006,0.9996636,80-84,83.0119704,Male
pop,214585,80-84,314649,Male
case of NMSC in 2007,0,80-84,75.0123216,Male
pop,230304,80-84,395524,Male
case of NMSC in 2008,0,80-84,78.9861428,Male
pop,327151,80-84,496334,Male
case of NMSC in 2009,1.0141681,80-84,112.0225838,Male
pop,553502,80-84,709356,Male
case of NMSC in 2010,0,80-84,182.0207496,Male
pop,684618,80-84,853731,Male
case of NMSC in 2011,0,80-84,208.9933488,Male
pop,994252,80-84,1189503,Male
case of NMSC in 2012,1.988504,80-84,250.0335306,Male
pop,1120183,80-84,1414709,Male
case of NMSC in 2013,1.0081647,80-84,305.0112604,Male
pop,1492182,80-84,1901893,Male
case of NMSC in 2014,0,80-84,414.0421061,Male
pop,1603833,80-84,2197248,Male
case of NMSC in 2015,0.9622998,80-84,433.0775808,Male
pop,2027078,80-84,2657823,Male
case of NMSC in 2016,4.054156,80-84,565.0531698,Male
pop,2465356,80-84,3027487,Male
case of NMSC in 2017,0,80-84,713.8814346,Male
pop,2831943,80-84,3644185,Male
case of NMSC in 2018,1.9823601,80-84,889.909977,Male
Incident of NMSC in 2005,0,85+,21.4,Male
Incident of NMSC in 2006,0.52,85+,34.92,Male
Incident of NMSC in 2007,0,85+,30.18,Male
Incident of NMSC in 2008,0,85+,36.19,Male
Incident of NMSC in 2009,0.31,85+,21.44,Male
Incident of NMSC in 2010,0,85+,27.92,Male
Incident of NMSC in 2011,0,85+,31.08,Male
Incident of NMSC in 2012,0.2,85+,25.18,Male
Incident of NMSC in 2013,0.09,85+,27.57,Male
Incident of NMSC in 2014,0,85+,25.67,Male
Incident of NMSC in 2015,0.06,85+,28.31,Male
Incident of NMSC in 2016,0.2,85+,26.7,Male
Incident of NMSC in 2017,0,85+,30.25,Male
Incident of NMSC in 2018,0.07,85+,31.25,Male
Incident of NMSC in 2018,0-,85+,85+,Male
pop,173406,85+,130846,Male
case of NMSC in 2005,0,85+,28.001044,Male
pop,192243,85+,140329,Male
case of NMSC in 2006,0.9996636,85+,49.0028868,Male
pop,214585,85+,155744,Male
case of NMSC in 2007,0,85+,47.0035392,Male
pop,230304,85+,204464,Male
case of NMSC in 2008,0,85+,73.9955216,Male
pop,327151,85+,261225,Male
case of NMSC in 2009,1.0141681,85+,56.00664,Male
pop,553502,85+,365311,Male
case of NMSC in 2010,0,85+,101.9948312,Male
pop,684618,85+,437643,Male
case of NMSC in 2011,0,85+,136.0194444,Male
pop,994252,85+,631518,Male
case of NMSC in 2012,1.988504,85+,159.0162324,Male
pop,1120183,85+,776142,Male
case of NMSC in 2013,1.0081647,85+,213.9823494,Male
pop,1492182,85+,1090718,Male
case of NMSC in 2014,0,85+,279.9873106,Male
pop,1603833,85+,1334999,Male
case of NMSC in 2015,0.9622998,85+,377.9382169,Male
pop,2027078,85+,1621991,Male
case of NMSC in 2016,4.054156,85+,433.071597,Male
pop,2465356,85+,1834427,Male
case of NMSC in 2017,0,85+,554.9141675,Male
pop,2831943,85+,2259098,Male
case of NMSC in 2018,1.9823601,85+,705.968125,Male
