Category,Variable,Measure,Value,Group
case of NMSC in 2013,1.0081647,10-14,5.1155298,Male
pop,1492182,10-14,7183868,Male
case of NMSC in 2014,0,10-14,5.7470944,Male
pop,1603833,10-14,7984556,Male
case of NMSC in 2015,0.9622998,10-14,6.3876448,Male
pop,2027078,10-14,9693183,Male
case of NMSC in 2016,4.054156,10-14,7.7545464,Male
pop,2465356,10-14,11546149,Male
case of NMSC in 2017,0,10-14,11.546149,Male
pop,2831943,10-14,14201472,Male
case of NMSC in 2018,1.9823601,10-14,21.302208,Male
Incident of NMSC in 2005,0,15-19,0.09,Male
Incident of NMSC in 2006,0.52,15-19,0.18,Male
Incident of NMSC in 2007,0,15-19,0.09,Male
Incident of NMSC in 2008,0,15-19,0.32,Male
Incident of NMSC in 2009,0.31,15-19,0,Male
Incident of NMSC in 2010,0,15-19,0.08,Male
Incident of NMSC in 2011,0,15-19,0.15,Male
Incident of NMSC in 2012,0.2,15-19,0.06,Male
Incident of NMSC in 2013,0.09,15-19,0.12,Male
Incident of NMSC in 2014,0,15-19,0.13,Male
Incident of NMSC in 2015,0.06,15-19,0.2,Male
Incident of NMSC in 2016,0.2,15-19,0.15,Male
Incident of NMSC in 2017,0,15-19,0.25,Male
Incident of NMSC in 2018,0.07,15-19,0.16,Male
Incident of NMSC in 2018,0-,15-19,15-19,Male
pop,173406,15-19,2195880,Male
case of NMSC in 2005,0,15-19,1.976292,Male
pop,192243,15-19,2216555,Male
case of NMSC in 2006,0.9996636,15-19,3.989799,Male
pop,214585,15-19,2220957,Male
case of NMSC in 2007,0,15-19,1.9988613,Male
pop,230304,15-19,2207619,Male
case of NMSC in 2008,0,15-19,7.0643808,Male
pop,327151,15-19,2795480,Male
case of NMSC in 2009,1.0141681,15-19,0,Male
pop,553502,15-19,3942503,Male
case of NMSC in 2010,0,15-19,3.1540024,Male
pop,684618,15-19,4580296,Male
case of NMSC in 2011,0,15-19,6.870444,Male
pop,994252,15-19,6243621,Male
case of NMSC in 2012,1.988504,15-19,3.7461726,Male
pop,1120183,15-19,6949280,Male
case of NMSC in 2013,1.0081647,15-19,8.339136,Male
pop,1492182,15-19,8504790,Male
case of NMSC in 2014,0,15-19,11.056227,Male
pop,1603833,15-19,9049253,Male
case of NMSC in 2015,0.9622998,15-19,18.098506,Male
pop,2027078,15-19,10812109,Male
case of NMSC in 2016,4.054156,15-19,16.2181635,Male
pop,2465356,15-19,12216721,Male
case of NMSC in 2017,0,15-19,30.5418025,Male
pop,2831943,15-19,14585468,Male
case of NMSC in 2018,1.9823601,15-19,23.3367488,Male
Incident of NMSC in 2005,0,20-24,0.12,Male
Incident of NMSC in 2006,0.52,20-24,0.04,Male
Incident of NMSC in 2007,0,20-24,0.26,Male
Incident of NMSC in 2008,0,20-24,0.27,Male
Incident of NMSC in 2009,0.31,20-24,0.11,Male
Incident of NMSC in 2010,0,20-24,0.13,Male
Incident of NMSC in 2011,0,20-24,0.15,Male
Incident of NMSC in 2012,0.2,20-24,0.12,Male
Incident of NMSC in 2013,0.09,20-24,0.17,Male
Incident of NMSC in 2014,0,20-24,0.17,Male
Incident of NMSC in 2015,0.06,20-24,0.13,Male
Incident of NMSC in 2016,0.2,20-24,0.15,Male
Incident of NMSC in 2017,0,20-24,0.2,Male
Incident of NMSC in 2018,0.07,20-24,0.15,Male
Incident of NMSC in 2018,0-,20-24,20-24,Male
pop,173406,20-24,2468195,Male
case of NMSC in 2005,0,20-24,2.961834,Male
pop,192243,20-24,2566537,Male
case of NMSC in 2006,0.9996636,20-24,1.0266148,Male
pop,214585,20-24,2722091,Male
case of NMSC in 2007,0,20-24,7.0774366,Male
pop,230304,20-24,2909458,Male
case of NMSC in 2008,0,20-24,7.8555366,Male
pop,327151,20-24,3790457,Male
case of NMSC in 2009,1.0141681,20-24,4.1695027,Male
pop,553502,20-24,5311134,Male
case of NMSC in 2010,0,20-24,6.9044742,Male
pop,684618,20-24,6037264,Male
case of NMSC in 2011,0,20-24,9.055896,Male
pop,994252,20-24,8380644,Male
case of NMSC in 2012,1.988504,20-24,10.0567728,Male
pop,1120183,20-24,9187448,Male
case of NMSC in 2013,1.0081647,20-24,15.6186616,Male
pop,1492182,20-24,11413925,Male
case of NMSC in 2014,0,20-24,19.4036725,Male
pop,1603833,20-24,11875899,Male
case of NMSC in 2015,0.9622998,20-24,15.4386687,Male
pop,2027078,20-24,13604438,Male
case of NMSC in 2016,4.054156,20-24,20.406657,Male
pop,2465356,20-24,14815642,Male
case of NMSC in 2017,0,20-24,29.631284,Male
pop,2831943,20-24,17702871,Male
case of NMSC in 2018,1.9823601,20-24,26.5543065,Male
Incident of NMSC in 2005,0,25-29,0.33,Male
Incident of NMSC in 2006,0.52,25-29,0.38,Male
Incident of NMSC in 2007,0,25-29,0.49,Male
Incident of NMSC in 2008,0,25-29,0.36,Male
Incident of NMSC in 2009,0.31,25-29,0.14,Male
Incident of NMSC in 2010,0,25-29,0.31,Male
Incident of NMSC in 2011,0,25-29,0.23,Male
Incident of NMSC in 2012,0.2,25-29,0.24,Male
Incident of NMSC in 2013,0.09,25-29,0.24,Male
Incident of NMSC in 2014,0,25-29,0.27,Male
Incident of NMSC in 2015,0.06,25-29,0.28,Male
Incident of NMSC in 2016,0.2,25-29,0.3,Male
