Category,Variable,Measure,Value,Group
Incident of NMSC in 2011,0,15-19,0.16,National
Incident of NMSC in 2012,0.21,15-19,0.1,National
Incident of NMSC in 2013,0.05,15-19,0.09,National
Incident of NMSC in 2014,0,15-19,0.15,National
Incident of NMSC in 2015,0.03,15-19,0.18,National
Incident of NMSC in 2016,0.21,15-19,0.14,National
Incident of NMSC in 2017,0.06,15-19,0.21,National
Incident of NMSC in 2018,0.09,15-19,0.19,National
Incident of NMSC in 2018,0-,15-19,15-19,National
pop,328711,15-19,4262016,National
case of NMSC in 2005,0,15-19,5.1144192,National
pop,366806,15-19,4346208,National
case of NMSC in 2006,0.9903762,15-19,7.8231744,National
pop,406298,15-19,4330107,National
case of NMSC in 2007,0,15-19,3.0310749,National
pop,435222,15-19,4303883,National
case of NMSC in 2008,1.0010106,15-19,11.1900958,National
pop,620042,15-19,5426773,National
case of NMSC in 2009,0.9920672,15-19,2.1707092,National
pop,1039937,15-19,7631685,National
case of NMSC in 2010,0,15-19,6.105348,National
pop,1296974,15-19,8822941,National
case of NMSC in 2011,0,15-19,14.1167056,National
pop,1876699,15-19,11949307,National
case of NMSC in 2012,3.9410679,15-19,11.949307,National
pop,2111613,15-19,13241576,National
case of NMSC in 2013,1.0558065,15-19,11.9174184,National
pop,2814044,15-19,16278953,National
case of NMSC in 2014,0,15-19,24.4184295,National
pop,3019983,15-19,17255204,National
case of NMSC in 2015,0.9059949,15-19,31.0593672,National
pop,3815719,15-19,20633230,National
case of NMSC in 2016,8.0130099,15-19,28.886522,National
pop,4653648,15-19,23266394,National
case of NMSC in 2017,2.7921888,15-19,48.8594274,National
pop,5351889,15-19,27727794,National
case of NMSC in 2018,4.8167001,15-19,52.6828086,National
Incident of NMSC in 2005,0,20-24,0.11,National
Incident of NMSC in 2006,0.27,20-24,0.1,National
Incident of NMSC in 2007,0,20-24,0.17,National
Incident of NMSC in 2008,0.23,20-24,0.2,National
Incident of NMSC in 2009,0.16,20-24,0.08,National
Incident of NMSC in 2010,0,20-24,0.17,National
