Category,Variable,Measure,Value,Group
case of NMSC in 2017,0.9014016,60-64,737.4525255,Urban
pop,2408681,60-64,14871872,Urban
case of NMSC in 2018,1.9269448,60-64,862.568576,Urban
Incident of NMSC in 2005,0,65-69,6.65,Urban
Incident of NMSC in 2006,0,65-69,5.55,Urban
Incident of NMSC in 2007,0,65-69,6.39,Urban
Incident of NMSC in 2008,0.31,65-69,7.02,Urban
Incident of NMSC in 2009,0.26,65-69,6.31,Urban
Incident of NMSC in 2010,0,65-69,6.26,Urban
Incident of NMSC in 2011,0,65-69,6.82,Urban
Incident of NMSC in 2012,0.24,65-69,8.44,Urban
Incident of NMSC in 2013,0.11,65-69,7.28,Urban
Incident of NMSC in 2014,0,65-69,7.56,Urban
Incident of NMSC in 2015,0,65-69,7.74,Urban
Incident of NMSC in 2016,0.22,65-69,7.83,Urban
Incident of NMSC in 2017,0.04,65-69,8.14,Urban
Incident of NMSC in 2018,0.08,65-69,8.07,Urban
Incident of NMSC in 2018,0-,65-69,65-69,Urban
pop,196647,65-69,1578770,Urban
case of NMSC in 2005,0,65-69,104.988205,Urban
pop,246212,65-69,1766583,Urban
case of NMSC in 2006,0,65-69,98.0453565,Urban
pop,256582,65-69,1658869,Urban
case of NMSC in 2007,0,65-69,106.0017291,Urban
pop,320424,65-69,1851792,Urban
case of NMSC in 2008,0.9933144,65-69,129.9957984,Urban
pop,384131,65-69,1964822,Urban
case of NMSC in 2009,0.9987406,65-69,123.9802682,Urban
pop,595402,65-69,2700579,Urban
case of NMSC in 2010,0,65-69,169.0562454,Urban
pop,688959,65-69,3094084,Urban
case of NMSC in 2011,0,65-69,211.0165288,Urban
pop,841767,65-69,3603545,Urban
case of NMSC in 2012,2.0202408,65-69,304.139198,Urban
pop,923346,65-69,4218575,Urban
case of NMSC in 2013,1.0156806,65-69,307.11226,Urban
pop,1275248,65-69,5702607,Urban
case of NMSC in 2014,0,65-69,431.1170892,Urban
pop,1352817,65-69,6405047,Urban
case of NMSC in 2015,0,65-69,495.7506378,Urban
pop,1851490,65-69,8398267,Urban
case of NMSC in 2016,4.073278,65-69,657.5843061,Urban
pop,2253504,65-69,9734324,Urban
case of NMSC in 2017,0.9014016,65-69,792.3739736,Urban
pop,2408681,65-69,11388103,Urban
case of NMSC in 2018,1.9269448,65-69,919.0199121,Urban
Incident of NMSC in 2005,0,70-74,9.03,Urban
Incident of NMSC in 2006,0,70-74,10.54,Urban
Incident of NMSC in 2007,0,70-74,10.07,Urban
Incident of NMSC in 2008,0.31,70-74,12.92,Urban
Incident of NMSC in 2009,0.26,70-74,10.09,Urban
Incident of NMSC in 2010,0,70-74,9.68,Urban
Incident of NMSC in 2011,0,70-74,12.08,Urban
Incident of NMSC in 2012,0.24,70-74,10.81,Urban
Incident of NMSC in 2013,0.11,70-74,10.78,Urban
Incident of NMSC in 2014,0,70-74,11.04,Urban
Incident of NMSC in 2015,0,70-74,11.47,Urban
Incident of NMSC in 2016,0.22,70-74,10.92,Urban
Incident of NMSC in 2017,0.04,70-74,11.5,Urban
Incident of NMSC in 2018,0.08,70-74,11.91,Urban
Incident of NMSC in 2018,0-,70-74,70-74,Urban
pop,196647,70-74,1418167,Urban
case of NMSC in 2005,0,70-74,128.0604801,Urban
pop,246212,70-74,1622114,Urban
case of NMSC in 2006,0,70-74,170.9708156,Urban
pop,256582,70-74,1588323,Urban
case of NMSC in 2007,0,70-74,159.9441261,Urban
pop,320424,70-74,1818933,Urban
case of NMSC in 2008,0.9933144,70-74,235.0061436,Urban
pop,384131,70-74,1852949,Urban
case of NMSC in 2009,0.9987406,70-74,186.9625541,Urban
pop,595402,70-74,2437666,Urban
case of NMSC in 2010,0,70-74,235.9660688,Urban
pop,688959,70-74,2649561,Urban
case of NMSC in 2011,0,70-74,320.0669688,Urban
pop,841767,70-74,2942061,Urban
case of NMSC in 2012,2.0202408,70-74,318.0367941,Urban
pop,923346,70-74,3266396,Urban
case of NMSC in 2013,1.0156806,70-74,352.1174888,Urban
pop,1275248,70-74,4231840,Urban
case of NMSC in 2014,0,70-74,467.195136,Urban
pop,1352817,70-74,4638105,Urban
case of NMSC in 2015,0,70-74,531.9906435,Urban
pop,1851490,70-74,5908537,Urban
case of NMSC in 2016,4.073278,70-74,645.2122404,Urban
pop,2253504,70-74,6650361,Urban
case of NMSC in 2017,0.9014016,70-74,764.791515,Urban
pop,2408681,70-74,7730530,Urban
case of NMSC in 2018,1.9269448,70-74,920.706123,Urban
Incident of NMSC in 2005,0,75-79,14.84,Urban
Incident of NMSC in 2006,0,75-79,13.57,Urban
Incident of NMSC in 2007,0,75-79,14.96,Urban
Incident of NMSC in 2008,0.31,75-79,16.31,Urban
Incident of NMSC in 2009,0.26,75-79,14.93,Urban
Incident of NMSC in 2010,0,75-79,13.46,Urban
Incident of NMSC in 2011,0,75-79,15.51,Urban
Incident of NMSC in 2012,0.24,75-79,16.03,Urban
Incident of NMSC in 2013,0.11,75-79,16.19,Urban
Incident of NMSC in 2014,0,75-79,15.85,Urban
Incident of NMSC in 2015,0,75-79,15.44,Urban
Incident of NMSC in 2016,0.22,75-79,16.09,Urban
Incident of NMSC in 2017,0.04,75-79,15.52,Urban
Incident of NMSC in 2018,0.08,75-79,16.6,Urban
Incident of NMSC in 2018,0-,75-79,75-79,Urban
pop,196647,75-79,916331,Urban
case of NMSC in 2005,0,75-79,135.9835204,Urban
pop,246212,75-79,1061428,Urban
case of NMSC in 2006,0,75-79,144.0357796,Urban
pop,256582,75-79,1056345,Urban
case of NMSC in 2007,0,75-79,158.029212,Urban
pop,320424,75-79,1343086,Urban
case of NMSC in 2008,0.9933144,75-79,219.0573266,Urban
pop,384131,75-79,1433149,Urban
case of NMSC in 2009,0.9987406,75-79,213.9691457,Urban
pop,595402,75-79,1953659,Urban
case of NMSC in 2010,0,75-79,262.9625014,Urban
pop,688959,75-79,2211567,Urban
case of NMSC in 2011,0,75-79,343.0140417,Urban
pop,841767,75-79,2539566,Urban
case of NMSC in 2012,2.0202408,75-79,407.0924298,Urban
pop,923346,75-79,2834701,Urban
case of NMSC in 2013,1.0156806,75-79,458.9380919,Urban
pop,1275248,75-79,3584481,Urban
case of NMSC in 2014,0,75-79,568.1402385,Urban
pop,1352817,75-79,3782920,Urban
case of NMSC in 2015,0,75-79,584.082848,Urban
pop,1851490,75-79,4605815,Urban
case of NMSC in 2016,4.073278,75-79,741.0756335,Urban
pop,2253504,75-79,5032828,Urban
case of NMSC in 2017,0.9014016,75-79,781.0949056,Urban
pop,2408681,75-79,5542420,Urban
case of NMSC in 2018,1.9269448,75-79,920.04172,Urban
Incident of NMSC in 2005,0,80-84,17.2,Urban
Incident of NMSC in 2006,0,80-84,22.86,Urban
Incident of NMSC in 2007,0,80-84,20.3,Urban
Incident of NMSC in 2008,0.31,80-84,19.9,Urban
Incident of NMSC in 2009,0.26,80-84,22.27,Urban
Incident of NMSC in 2010,0,80-84,21.66,Urban
Incident of NMSC in 2011,0,80-84,21.09,Urban
Incident of NMSC in 2012,0.24,80-84,23.41,Urban
Incident of NMSC in 2013,0.11,80-84,20.51,Urban
Incident of NMSC in 2014,0,80-84,20.96,Urban
Incident of NMSC in 2015,0,80-84,20.6,Urban
Incident of NMSC in 2016,0.22,80-84,22.22,Urban
Incident of NMSC in 2017,0.04,80-84,23.94,Urban
Incident of NMSC in 2018,0.08,80-84,24.07,Urban
Incident of NMSC in 2018,0-,80-84,80-84,Urban
pop,196647,80-84,488471,Urban
case of NMSC in 2005,0,80-84,84.017012,Urban
pop,246212,80-84,568714,Urban
case of NMSC in 2006,0,80-84,130.0080204,Urban
pop,256582,80-84,581230,Urban
case of NMSC in 2007,0,80-84,117.98969,Urban
pop,320424,80-84,753584,Urban
case of NMSC in 2008,0.9933144,80-84,149.963216,Urban
pop,384131,80-84,803947,Urban
case of NMSC in 2009,0.9987406,80-84,179.0389969,Urban
pop,595402,80-84,1107798,Urban
case of NMSC in 2010,0,80-84,239.9490468,Urban
pop,688959,80-84,1280054,Urban
case of NMSC in 2011,0,80-84,269.9633886,Urban
pop,841767,80-84,1542357,Urban
case of NMSC in 2012,2.0202408,80-84,361.0657737,Urban
pop,923346,80-84,1774505,Urban
case of NMSC in 2013,1.0156806,80-84,363.9509755,Urban
pop,1275248,80-84,2356926,Urban
case of NMSC in 2014,0,80-84,494.0116896,Urban
pop,1352817,80-84,2606840,Urban
case of NMSC in 2015,0,80-84,537.00904,Urban
pop,1851490,80-84,3209086,Urban
case of NMSC in 2016,4.073278,80-84,713.0589092,Urban
pop,2253504,80-84,3554380,Urban
case of NMSC in 2017,0.9014016,80-84,850.918572,Urban
pop,2408681,80-84,3904609,Urban
case of NMSC in 2018,1.9269448,80-84,939.8393863,Urban
Incident of NMSC in 2005,0,85+,20.24,Urban
Incident of NMSC in 2006,0,85+,31.59,Urban
Incident of NMSC in 2007,0,85+,30.08,Urban
Incident of NMSC in 2008,0.31,85+,30.73,Urban
Incident of NMSC in 2009,0.26,85+,23.6,Urban
Incident of NMSC in 2010,0,85+,23.64,Urban
Incident of NMSC in 2011,0,85+,30.47,Urban
Incident of NMSC in 2012,0.24,85+,28.86,Urban
Incident of NMSC in 2013,0.11,85+,25.81,Urban
Incident of NMSC in 2014,0,85+,27.03,Urban
Incident of NMSC in 2015,0,85+,30.15,Urban
Incident of NMSC in 2016,0.22,85+,29.34,Urban
Incident of NMSC in 2017,0.04,85+,31.07,Urban
Incident of NMSC in 2018,0.08,85+,34.56,Urban
Incident of NMSC in 2018,0-,85+,85+,Urban
pop,196647,85+,281640,Urban
case of NMSC in 2005,0,85+,57.003936,Urban
pop,246212,85+,319692,Urban
case of NMSC in 2006,0,85+,100.9907028,Urban
pop,256582,85+,335763,Urban
case of NMSC in 2007,0,85+,100.9975104,Urban
pop,320424,85+,449103,Urban
case of NMSC in 2008,0.9933144,85+,138.0093519,Urban
pop,384131,85+,487238,Urban
case of NMSC in 2009,0.9987406,85+,114.988168,Urban
pop,595402,85+,660018,Urban
case of NMSC in 2010,0,85+,156.0282552,Urban
pop,688959,85+,764644,Urban
case of NMSC in 2011,0,85+,232.9870268,Urban
pop,841767,85+,959824,Urban
case of NMSC in 2012,2.0202408,85+,277.0052064,Urban
pop,923346,85+,1127642,Urban
case of NMSC in 2013,1.0156806,85+,291.0444002,Urban
pop,1275248,85+,1557338,Urban
case of NMSC in 2014,0,85+,420.9484614,Urban
pop,1352817,85+,1777977,Urban
case of NMSC in 2015,0,85+,536.0600655,Urban
pop,1851490,85+,2225832,Urban
case of NMSC in 2016,4.073278,85+,653.0591088,Urban
pop,2253504,85+,2519875,Urban
case of NMSC in 2017,0.9014016,85+,782.9251625,Urban
pop,2408681,85+,2809937,Urban
case of NMSC in 2018,1.9269448,85+,971.1142272,Urban
